sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,iris_type,package,price
6.4,3.1,5.5,1.8,Iris-virginica,0,Medium
6,3,4.8,1.8,Iris-virginica,0,Medium
6.9,3.1,5.4,2.1,Iris-virginica,0,Medium
6.7,3.1,5.6,2.4,Iris-virginica,0,High
6.9,3.1,5.1,2.3,Iris-virginica,0,Medium
5.8,2.7,5.1,1.9,Iris-virginica,0,Medium
6.8,3.2,5.9,2.3,Iris-virginica,2,High
6.7,3.3,5.7,2.5,Iris-virginica,1,High
6.7,3,5.2,2.3,Iris-virginica,1,High
6.3,2.5,5,2.3,Iris-virginica,0,Medium
6.5,3,5.2,2,Iris-virginica,0,Medium
6.2,3.4,5.4,2.3,Iris-virginica,1,High
5.9,3,5.1,1.8,Iris-virginica,0,Medium
